id,name,guard_name,created_at,updated_at,group_name
1,user.list,web,2024-12-16 10:59:02,2024-12-16 10:59:02,Category
2,driver.list,web,2024-12-18 08:39:00,2024-12-18 08:39:00,Coupon
3,create.driver,web,2024-12-18 08:39:30,2024-12-18 08:39:30,Coupon
4,driver.edit,web,2024-12-18 08:40:52,2024-12-18 08:40:52,Coupon
5,view.driver,web,2024-12-18 08:44:15,2024-12-18 08:44:15,Coupon
6,transaction.view,web,2024-12-18 08:44:51,2024-12-18 08:44:51,Report
7,transaction.create,web,2024-12-18 08:45:54,2024-12-18 08:45:54,Transactions
8,transaction.edit,web,2024-12-18 08:47:40,2024-12-18 08:47:40,Transactions
9,site.list,web,2024-12-18 08:50:00,2024-12-18 08:50:00,Site Manager
10,site.create,web,2024-12-18 08:50:17,2024-12-18 08:50:17,Site Manager
11,site.edit,web,2024-12-18 08:50:27,2024-12-18 08:50:27,Site Manager
12,Permission.list,web,2024-12-18 08:50:45,2024-12-18 08:50:45,Role and Permission
13,permission.create,web,2024-12-18 08:52:12,2024-12-18 08:52:12,Role and Permission
14,permission.edit,web,2024-12-18 08:52:22,2024-12-18 08:52:22,Role and Permission
15,add.vehicle.to.driver,web,2024-12-18 10:04:01,2024-12-18 10:04:01,Category
16,transaction.list,web,2024-12-18 10:17:12,2024-12-18 10:17:12,Transactions